,url,title,text,summary,date,author,keywords
0,https://thewaterproject.org/water-crisis/water-in-crisis-congo,Spotlight Democratic Republic of Congo,"Rebecca Shore (Guest Writer)

In 1998, the Democratic Republic of Congo became part of what some people called Africa's First World War, in a conflict between seven African nations. There are many reasons why the war broke out, including conflicts over minerals, water, and food. After the war, water became an increasingly sparse resource due to the collapse of the DRC's infrastructure during the fighting. Although the DRC use to be one of the wettest nations in Africa, today the majority of rural Congolese do not have access to sanitary water because of the lack of infrastructure. In fact a study carried out by the IRC found that since the war, most Congolese have not died from violence, but rather from malaria, diarrhea, and malnutrition, all problems associated with the lack of water (Global Issues).

In the DRC, the state water utility does not have the ability to improve its water pumping system, because they lack the funds to undertake the project. Instead, they continue to pump water to needy areas through rusty, decaying pipes. According to the IRIN, only about 69 percent of the urban areas of the DRC receive water from the state water utility (IRIN News). This means that there are a significant amount of citizens not receiving water to their towns and villages, resulting in the locals having to find other options to satisfy their need for water.

In a town in the northwestern district of the DRC, called Ewo, most locals are only able to get water from local streams and ponds - there are no water pipes coming in from the state water utility. One local man, named Romuald Onanga, who gets his water from those streams said, ""We've become used to drinking spring water because it is natural. It is not often associated with chemicals"" (IRIN News). However, what Onanga and others do not realize is that many of the streams they get their water from are contaminated with waste, chemicals, or bacteria, but it is their only source of water so they have no other choice but to drink unsafe water.

For the privileged Congolese, they have the ability to buy imported bottled water, but at a very steep price. One liter bottle of water costs about $1, which is extremely cheap to Americans, but for many Congolese who make less than $2 a day, it is an impossible luxury. As a result, those who do not have money do not have access to clean water.

In the next four years, the government and outside humanitarian organizations hope to alleviate the water crisis in the DRC. According to the minister of energy and water resources, the government is committed to providing clean water to all districts in the country, hoping to provide clean water to 75 percent of the country by 2015. In the end the DRC, as well as other African nations, is greatly in need of outside help to better its water system.

References

http://www.globalissues.org/article/87/the-democratic-republic-of-congo

http://www.irinnews.org/InDepthMain.aspx?InDepthId=13&ReportId=61034

http://www.speroforum.com/a/32168/Drc---Water-crisis-hits-MbujiMayi","Rebecca Shore (Guest Writer)In 1998, the Democratic Republic of Congo became part of what some people called Africa's First World War, in a conflict between seven African nations.
After the war, water became an increasingly sparse resource due to the collapse of the DRC's infrastructure during the fighting.
In the DRC, the state water utility does not have the ability to improve its water pumping system, because they lack the funds to undertake the project.
According to the IRIN, only about 69 percent of the urban areas of the DRC receive water from the state water utility (IRIN News).
In the next four years, the government and outside humanitarian organizations hope to alleviate the water crisis in the DRC.",,[],"['water', 'congolese', 'democratic', 'state', 'republic', 'spotlight', 'nations', 'streams', 'irin', 'drc', 'congo', 'war', 'utility', 'lack']"
1,https://www.unicef.org/drcongo/en/what-we-do/water-sanitation-and-hygiene,"Water, sanitation and hygiene","The Democratic Republic of Congo (DRC) has over 50% of the African continent’s water reserves but despite this tremendous potential, 33 million people in rural areas still lack access to quality water. Despite sustained efforts, only 52% of the population has access to an improved water source and 29% has improved sanitation facilities.

At the same time, chronic malnutrition affects 43% of children between 0 and 5 years of age throughout the country. Malnutrition is a result of multiple causes, such as lack of access to safe drinking water, sanitation services and failure to practice basic hygiene practices. Generally, access to safe water and to adequate sanitary and hygienic conditions make it possible to prevent many other waterborne diseases. On the other hand, chronic conflicts in several provinces facilitate the spread of water-borne diseases due to large movements of population. The arrival of displaced people in host communities, with a low rate of access to drinking water, increases the pressure on available resources.

The DRC is a country where cholera is endemic, and has been battling an Ebola outbreak since August 2018.","The Democratic Republic of Congo (DRC) has over 50% of the African continent’s water reserves but despite this tremendous potential, 33 million people in rural areas still lack access to quality water.
Despite sustained efforts, only 52% of the population has access to an improved water source and 29% has improved sanitation facilities.
Malnutrition is a result of multiple causes, such as lack of access to safe drinking water, sanitation services and failure to practice basic hygiene practices.
Generally, access to safe water and to adequate sanitary and hygienic conditions make it possible to prevent many other waterborne diseases.
The arrival of displaced people in host communities, with a low rate of access to drinking water, increases the pressure on available resources.",,[],"['water', 'drinking', 'hygiene', 'sanitation', 'safe', 'population', 'access', 'improved', 'waterborne', 'lack', 'malnutrition']"
2,https://www.unicef.org/drcongo/en/stories/water-life-survival,Water for life - and survival,"Nadine (20) waits patiently to fill her water cans, just like dozens of other women grouped around a drinking water point in Goma in eastern Democratic Republic of Congo (DRC). Nadine may seem relaxed this morning, but it hasn't always been like that.

Just a few months ago, the young mother had to walk more than 10 km every day to fetch water from the closest standpipe. 'It took me all day to get 20 litres of water for everyone at home,' she recalls.

Since the Ebola epidemic was declared in her province in August 2018, Nadine has been extremely worried about her family's health. Despite the fact it's close to Lake Kivu, Goma doesn't have a reliable drinking water supply. 'When we heard we needed to wash our hands to avoid catching Ebola, we wondered how we'd manage without water,' explains Nadine who lives in a district that doesn't have any water supply infrastructure.

To help local people carefully follow hygiene requirements and protect themselves against Ebola, UNICEF has installed water supply points in the most vulnerable parts of the city. The installation of a supply point near her house means that Nadine is no longer forced to travel long distances and the young mother can also be confident about the quality of water she uses.

Because drinking water supplies are scarce, and water from Lake Kivu is unfit for consumption, the local population is at high risk from many diseases. Monique, who manages one of the water supply points set up by UNICEF, is aware of how important it is for her community to have access to drinking water. 'We'll be pleased to see the back of Ebola, along with other diseases caused by the lack of clean water,' she said.

UNICEF and its partners have provided boreholes and water hydrants in communities that have recorded the highest number of Ebola patients. Since the epidemic started, more than 22,000 people have been provided with access to drinking water.

UNICEF’s response to the Ebola epidemic is supported by the World Bank, the European Commission – European Civil Protection and Humanitarian Aid Operations, Gavi - the Vaccine Alliance, the United States Agency for International Development, the Central Emergency Response Fund and the Government of Japan. UNICEF is also supported by the German Committee for UNICEF, the World Bank Group’s Pandemic Emergency Financing Facility, the United Kingdom and the Paul G. Allen Family Foundation.","Nadine (20) waits patiently to fill her water cans, just like dozens of other women grouped around a drinking water point in Goma in eastern Democratic Republic of Congo (DRC).
Despite the fact it's close to Lake Kivu, Goma doesn't have a reliable drinking water supply.
To help local people carefully follow hygiene requirements and protect themselves against Ebola, UNICEF has installed water supply points in the most vulnerable parts of the city.
Because drinking water supplies are scarce, and water from Lake Kivu is unfit for consumption, the local population is at high risk from many diseases.
Monique, who manages one of the water supply points set up by UNICEF, is aware of how important it is for her community to have access to drinking water.",,[],"['water', 'drinking', 'world', 'unicef', 'young', 'ebola', 'life', 'survival', 'nadine', 'epidemic', 'supply', 'united']"
3,https://www.globalwaters.org/WhereWeWork/Africa/DRC,Democratic Republic of Congo,"The Democratic Republic of the Congo (DRC), the second largest country in Africa, is endowed with large quantities of freshwater. However, water security is low because of economic and governance constraints. Economic growth is negative in real terms, which limits the government’s basic infrastructure investments and maintenance. Constricted political space for civil society activity and limited social accountability, including on water and sanitation investments, further constrains the delivery of services. As a result, currently only 52 percent of the population has access to basic water and 29 percent has access to sanitation. Lack of access to water and sanitation, coupled with poor hygiene behaviors, are among the top five risk factors associated with death and disability in the country.

USAID is supporting the Government of the DRC to create and strengthen systems required to achieve the country’s water and sanitation targets, in alignment with the Global Water Strategy and the USAID Agency Specific Plan. USAID is addressing water and sanitation needs through large scale investments in health services and systems. USAID/DRC is implementing these activities by using two different models: 1) drinking water, sanitation, and hygiene programming as a component of the Mission’s Integrated Health Project; and 2) investing in stand-alone drinking water, sanitation, and hygiene programming through UNICEF. Specific interventions focus on direct service, behavior change, and policy implementation. The portfolio themes include strengthening water sector governance and advancing gender empowerment. Additional U.S. government activities in the DRC include USAID/Food for Peace’s Development Food Assistance Program, and disease outbreak response, including for Ebola and cholera.

Donors provide nearly 99 percent of water sector financing in the DRC, and USAID coordinates closely with these other development partners to ensure effective and efficient programming. Donor coordination focuses on water infrastructure, resource management, governance, and water treatment to leverage resources and avoid duplication of effort.

Overall, USAID and other U.S. government activities are estimated to provide the Congolese with millions of liters of safe drinking water, and to help more than one million people gain access to basic water and sanitation services.","The Democratic Republic of the Congo (DRC), the second largest country in Africa, is endowed with large quantities of freshwater.
Constricted political space for civil society activity and limited social accountability, including on water and sanitation investments, further constrains the delivery of services.
As a result, currently only 52 percent of the population has access to basic water and 29 percent has access to sanitation.
USAID/DRC is implementing these activities by using two different models: 1) drinking water, sanitation, and hygiene programming as a component of the Mission’s Integrated Health Project; and 2) investing in stand-alone drinking water, sanitation, and hygiene programming through UNICEF.
Donor coordination focuses on water infrastructure, resource management, governance, and water treatment to leverage resources and avoid duplication of effort.",,[],"['water', 'programming', 'hygiene', 'democratic', 'sanitation', 'usaid', 'republic', 'services', 'drc', 'congo', 'access', 'governance', 'investments']"
4,https://www.borgenmagazine.com/water-quality-in-the-democratic-republic-of-congo/,3 Facts about Water Quality in the Democratic Republic of Congo,"KINSHASA — Located in Central Africa, the Democratic Republic of Congo is a country that has a brutal history of war, violence and political unrest. Millions of people live in extreme poverty, and do not have access to clean drinking water. Here are 3 important facts about water quality in the Democratic Republic of Congo.

1. Weak Infrastructure

Fifty million people, or 75 percent, of the entire population lack access to safe drinking water, despite the fact that the country holds over half of the continent of Africa’s water reserves. While resources are available, the country has a weak infrastructure, a lack of effective policies, and limited paved roads and electricity, which limits their ability to utilize clean water sources.

2. Price and Time

There are few sources of clean water, particularly in more rural areas; yet, many water pumps cost villagers a monthly maintenance fee. Although the cost is inexpensive, many individuals are unable to pay. Not only is cost a factor, but time is as well — at many water pumps, it takes individuals up to two hours to get clean water. The price coupled with how long the process takes discourages individuals, and leads them to the more inexpensive and convenient unsafe water sources instead.

3. Heightened risk of disease and illness

Due to the price and sometimes distance of clean water sources from villages, many individuals choose to drink from unsafe water sources. This in turn, places individuals, particularly children at risk for disease and illness. The poor water quality in the Democratic Republic of Congo, has led to the country having one of the highest child mortality rates in the world. A child in a rural Congolese village is four times more likely to drink contaminated water than someone living in a town or city; there’s also more than two million children under five are frequently sick with diarrhea.

4. Solutions

While poor water quality in the Democratic Republic of Congo proves to be a serious issue, the number of people who have access to clean water has risen by over 3 percent in the last several decades. The government of the DRC has also managed to reverse the negative trend of poor water quality and water coverage since peace was achieved in 2003, and many experts think this effort should be applauded.

Infrastructure improvements within the government coupled with investments to improve the water quality can make all the difference for the livelihood and wellbeing of millions of Congolese.

-Sarah Jane Fraser

Photo: Flickr","KINSHASA — Located in Central Africa, the Democratic Republic of Congo is a country that has a brutal history of war, violence and political unrest.
Here are 3 important facts about water quality in the Democratic Republic of Congo.
The poor water quality in the Democratic Republic of Congo, has led to the country having one of the highest child mortality rates in the world.
SolutionsWhile poor water quality in the Democratic Republic of Congo proves to be a serious issue, the number of people who have access to clean water has risen by over 3 percent in the last several decades.
The government of the DRC has also managed to reverse the negative trend of poor water quality and water coverage since peace was achieved in 2003, and many experts think this effort should be applauded.",2017-11-20 09:30:48+00:00,['Sarah Fraser'],"['water', 'democratic', 'sources', 'quality', 'republic', 'poor', 'facts', 'clean', 'price', 'country', 'congo', 'individuals']"
5,https://borgenproject.org/water-quality-in-the-democratic-republic-of-the-congo/,Water Quality in the Democratic Republic of the Congo,"

Water quality in the Democratic Republic of the Congo is in need of improvement. Only 46 percent of the population has access to clean and safe drinking water. Although the DRC has an abundance of freshwater sources, pollution and accessibility are major issues in the country.

According to the World Food Programme, the DRC is one of the poorest countries in the world. Therefore, the country has a lack of infrastructure and insufficient water storage and treatment facilities. Poorly maintained water systems can be dangerous because old and rusted pipes can possibly pollute water. Some towns, especially in rural regions, do not have any water systems.

For instance, the isolated town of Kasongo once had a working water system but it broke down and was not been repaired for several years. Without running water, residents had to walk three miles to get water from the nearest stream. This trip can take up to two hours. This is common for rural towns in the Congo.

People in the rural regions who depend on direct water sources are more likely to drink unsafe water. Approximately 37 million people in rural areas are at risk of contracting a disease from contaminated streams and rivers. One of the most common illnesses caused by unsafe drinking water is Cholera. Every year, 20,000 people die from cholera.

UNICEF representative, Pierette Vu Thi says, “A child living in a Congolese village is four times more likely to drink contaminated water than someone in town. Yet, all children have equal right to survival and development of which drinking water is a vital component.”

There are many solutions being explored to improve water access and quality in the Congo. The state water company REGIDESO is tapping groundwater in order to install pumps in remote rural areas. This method is much cheaper and less difficult than installing water systems. But, old water systems are also being restored. In Kasongo, REGIDESO replaced their defunct water system. The old storage tank, engine and pump were repaired with new models. A network of pipes and taps were extended to provide more people with running water.

The water quality in the Democratic Republic of the Congo is poor especially for the Congolese in rural areas. However, with new initiatives, many more people will gain access to clean water without having to travel miles.

– Karla Umanzor

Photo: Flickr","Water quality in the Democratic Republic of the Congo is in need of improvement.
Poorly maintained water systems can be dangerous because old and rusted pipes can possibly pollute water.
Yet, all children have equal right to survival and development of which drinking water is a vital component.”There are many solutions being explored to improve water access and quality in the Congo.
But, old water systems are also being restored.
The water quality in the Democratic Republic of the Congo is poor especially for the Congolese in rural areas.",2017-01-05 09:30:58+00:00,['Clint Borgen'],"['water', 'rural', 'drinking', 'world', 'democratic', 'quality', 'republic', 'old', 'systems', 'access', 'congo', 'areas']"
6,https://postconflict.unep.ch/publications/UNEP_DRC_water.pdf,,,,,[],[]
7,https://www.wsp.org/sites/wsp/files/publications/CSO-DRC-En.pdf,,,,,[],[]
8,https://www.afrik21.africa/en/drc-new-water-sources-for-health-facilities-in-butembo-and-katwa/,DRC: New water sources for health facilities in Butembo and Katwa,"The inhabitants of Butembo, a town in the province of North Kivu in the Democratic Republic of Congo, and those of Katwa, a locality on the outskirts of Butembo, are relieved. A number of health districts in these cities have been benefiting for the past few weeks from abundant drinking water to effectively combat “dirty hand diseases” and epidemics, particularly Ebola and Covid-19.

The international NGO Mercy Corps, an organization that works in partnership with communities, businesses and governments to transform the lives of people around the world, recently provided the health areas with 15 boreholes, two water supply systems and drinking water sources. The facilities were installed by the National Rural Hydraulic Service. They provide up to 4 m³ of water per hour.

The manual pumps in the health areas have also been renovated

Drinking water projects are a response to community demand. “During this Ebola period, the inhabitants of several neighbourhoods organised themselves into community outreach teams to reflect on the nature of the responses that need to be capitalised on to defeat the epidemic. Based on the needs expressed through the action plans implemented by these cells, we found that the need for drinking water was common to all neighbourhoods. We therefore decided to support communities by installing drinking water sources. Once they have water, they can practise good hygiene and prevent dirty hand disease and epidemics,” says Guillaume Cailleaux, the deputy director of the Ebola programme at Mercy Corps.

For decades, the people of Butembo have faced the problem of a shortage of drinking water. A situation that has already caused the death of hundreds of people.

Inès Magoum","The inhabitants of Butembo, a town in the province of North Kivu in the Democratic Republic of Congo, and those of Katwa, a locality on the outskirts of Butembo, are relieved.
The international NGO Mercy Corps, an organization that works in partnership with communities, businesses and governments to transform the lives of people around the world, recently provided the health areas with 15 boreholes, two water supply systems and drinking water sources.
Based on the needs expressed through the action plans implemented by these cells, we found that the need for drinking water was common to all neighbourhoods.
We therefore decided to support communities by installing drinking water sources.
For decades, the people of Butembo have faced the problem of a shortage of drinking water.",2020-05-27 11:44:45+00:00,['Inès Magoum'],"['water', 'facilities', 'drinking', 'neighbourhoods', 'sources', 'health', 'mercy', 'ebola', 'need', 'inhabitants', 'drc', 'katwa', 'butembo']"
9,https://www.afrik21.africa/en/drc-wietc-launches-construction-of-a-large-drinking-water-plant-in-kinshasa/,DRC: WIETC launches construction of a large drinking-water plant in Kinshasa,"This is good news for the people of the city of Kinshasa. The President of the Democratic Republic of Congo (DRC) Félix-Antoine Tshisekedi recently laid the foundation stone for the construction of an “industrial water treatment complex” in the capital. This is an important project that could reduce the shortage of drinking water in this city of almost 12 million inhabitants.

The project has been awarded to Weihai International Economic & Technical Cooperative (WIETC), a company based in Weihai, north-eastern China. The drinking water plant that will come out of the ground in Kinshasa will be supplied by water from the Congo River.

A large drinking water plant

As part of its contract, WIETC will construct an intake in the Congo River that flows through the capital of the DRC. The raw water will be conveyed to the plant via an 805 mm diameter pipe and over a distance of 3 km, via Colonel Tshatshi camp. This is a military camp located in Ngaliema, a commune west of Kinshasa City.

The (raw) water will pass through an arrival tower before entering the drinking water plant. The plant will have a capacity of 110,000 cubic metres per day. WIETC will also construct a building that will serve as a storage facility for water treatment chemicals. The Chinese company has 23 months to complete all the work.

Financing from the World Bank

The construction of this drinking water plant in Kinshasa is part of the Urban Drinking Water Supply Project (Pemu) in the DRC. The aim of the project is to increase sustainable access to water in selected urban areas and improve the efficiency of the Democratic Republic of Congo’s water distribution company (Regideso). Pemu concerns three cities in the DRC: the capital Kinshasa, Lubumbashi in the south and Matadi in the west.

In Kinshasa, the project will rehabilitate the existing pumping stations in the city and reinforce the water transfer pipe from the N’djili plant over a distance of 18 km. The government of the DR Congo also plans to rehabilitate 120 km of secondary and tertiary pipelines. This operation will enable new connections to be made. Regideso, which provides the DRC’s public drinking water service, will replace 160 000 metres and install 50 000 new ones in the city of Kinshasa. Projects will also be carried out in the cities of Lubumbashi and Matadi.

Pemu will require an overall investment of $360 million. Within this budget, $59.4 million is earmarked for the construction of the “industrial water treatment complex”. The government is financing the project with a loan from the World Bank.

Jean Marie Takouleu","The President of the Democratic Republic of Congo (DRC) Félix-Antoine Tshisekedi recently laid the foundation stone for the construction of an “industrial water treatment complex” in the capital.
The drinking water plant that will come out of the ground in Kinshasa will be supplied by water from the Congo River.
The (raw) water will pass through an arrival tower before entering the drinking water plant.
Financing from the World BankThe construction of this drinking water plant in Kinshasa is part of the Urban Drinking Water Supply Project (Pemu) in the DRC.
Within this budget, $59.4 million is earmarked for the construction of the “industrial water treatment complex”.",2020-01-22 13:01:28+00:00,['Jean Marie Takouleu'],"['kinshasa', 'water', 'drinking', 'project', 'drinkingwater', 'construction', 'launches', 'treatment', 'plant', 'drc', 'congo', 'large', 'wietc', 'city']"
